Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Ubuntu 24.04 LTS,LXC,Container,kernel_compile,elapsed_time,seconds,10,385.254,385.285,0.4882,0.13,384.49,386.24,-0.29,99.71,8,385.2262,385.285,0.2886,0.07,-0.27,99.73,1
Ubuntu 24.04 LTS,LXC,Container,kernel_compile,involuntary_ctx_switches,count,10,140042.1,139257.5,4512.6333,3.22,136283.0,151973.0,579.61,679.61,8,139020.625,139257.5,1623.4988,1.17,574.33,674.33,1
Ubuntu 24.04 LTS,LXC,Container,kernel_compile,major_page_faults,count,10,31.4,30.5,7.3817,23.51,19.0,45.0,5.72,105.72,8,31.25,30.5,4.6522,14.89,13.12,113.12,1
Ubuntu 24.04 LTS,LXC,Container,kernel_compile,voluntary_ctx_switches,count,10,85621.8,85651.5,210.9164,0.25,85300.0,85900.0,1.51,101.51,8,85627.25,85651.5,176.9518,0.21,1.52,101.52,0
Ubuntu 24.04 LTS,LXC,Container,mbw,mbw_dumb_bandwidth,MiB/s,10,10237.9975,10211.775,94.1844,0.92,10127.383,10431.098,-0.01,100.01,8,10227.6868,10211.775,64.8761,0.63,0.03,99.97,2
Ubuntu 24.04 LTS,LXC,Container,mbw,mbw_mcblock_bandwidth,MiB/s,10,18117.5369,18090.6665,359.3974,1.98,17554.446,18669.37,0.65,99.35,8,18118.9441,18090.6665,277.9751,1.53,0.53,99.47,0
Ubuntu 24.04 LTS,LXC,Container,mbw,mbw_memcpy_bandwidth,MiB/s,10,6459.6527,6467.424,26.0694,0.4,6389.521,6478.241,-0.14,100.14,8,6466.0956,6467.424,8.6226,0.13,-0.14,100.14,1
Ubuntu 24.04 LTS,LXC,Container,openssl,aes256gcm_16b_throughput,MB/s,10,331.362,331.575,0.462,0.14,330.39,331.76,0.03,99.97,8,331.4338,331.575,0.333,0.1,0.02,99.98,2
Ubuntu 24.04 LTS,LXC,Container,openssl,aes256gcm_16k_throughput,MB/s,10,3065.706,3065.715,1.389,0.05,3063.37,3067.37,-0.01,100.01,8,3065.79,3065.715,1.139,0.04,-0.01,100.01,2
Ubuntu 24.04 LTS,LXC,Container,openssl,rsa2048_sign_per_sec,ops/s,10,1949.31,1949.5,1.8095,0.09,1946.7,1952.0,0.02,99.98,8,1949.3,1949.5,1.4842,0.08,0.03,99.97,0
