Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Ubuntu 24.04 LTS,VirtualBox-U24,VM,7zip,total_rating,MIPS,10,18259.8,18267.0,199.0018,1.09,17941.0,18542.0,4.86,95.14,8,18264.375,18267.0,158.1039,0.87,4.88,95.12,4
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,7zip_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,7zip_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,fractal_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,fractal_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,openssl_aes_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,openssl_aes_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,openssl_rsa_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,openssl_rsa_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,stress_ng_cpu_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,stress_ng_cpu_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,stress_ng_switch_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,stress_ng_switch_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,sysbench_cpu_multi_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,sysbench_cpu_multi_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,sysbench_cpu_single_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cgroup,sysbench_cpu_single_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cpu_sample,7zip_cpu_busy_pct,percent,10,91.222,91.24,0.4132,0.45,90.61,91.84,1.26,98.74,8,91.2212,91.24,0.3338,0.37,1.29,98.71,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cpu_sample,fractal_cpu_busy_pct,percent,10,2.414,1.89,1.5604,64.64,0.89,5.38,90.34,9.66,8,2.2338,1.89,1.2267,54.92,91.06,8.94,2
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cpu_sample,kernel_compile_cpu_busy_pct,percent,10,96.361,96.365,0.0875,0.09,96.22,96.54,,,8,96.3563,96.365,0.049,0.05,,,2
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cpu_sample,openssl_aes_cpu_busy_pct,percent,10,2.745,1.9,1.7845,65.01,1.18,5.73,89.02,10.98,8,2.5675,1.9,1.5606,60.78,89.73,10.27,0
Ubuntu 24.04 LTS,VirtualBox-U24,VM,cpu_sample,openssl_rsa_cpu_busy_pct,percent,10,2.125,1.97,1.3282,62.5,1.0,5.61,91.5,8.5,8,1.83,1.97,0.5029,27.48,92.68,7.32,1
